Capacidad Útil Energía [GWh],Volumen Útil Energía [GWh],Fecha,Cero
16924.074292999998,12171.761700000003,2021-01-01 00:00:00,0
16924.074292999998,12162.106100000003,2021-01-02 00:00:00,0
16924.074292999998,12162.884,2021-01-03 00:00:00,0
16924.074292999998,12119.595700000002,2021-01-04 00:00:00,0
16924.074292999998,12072.113099999999,2021-01-05 00:00:00,0
16924.074292999998,12020.454699999997,2021-01-06 00:00:00,0
16924.074292999998,11979.108800000004,2021-01-07 00:00:00,0
16924.074292999998,11965.869799999999,2021-01-08 00:00:00,0
16924.074292999998,11950.118500000004,2021-01-09 00:00:00,0
16924.074292999998,11961.2747,2021-01-10 00:00:00,0
16924.074292999998,12022.436300000001,2021-01-11 00:00:00,0
16924.074292999998,12003.349600000001,2021-01-12 00:00:00,0
16924.074292999998,11945.7835,2021-01-13 00:00:00,0
16924.074292999998,11870.237900000002,2021-01-14 00:00:00,0
16924.074292999998,11781.128200000003,2021-01-15 00:00:00,0
16924.074292999998,11696.293700000002,2021-01-16 00:00:00,0
16924.074292999998,11637.9566,2021-01-17 00:00:00,0
16924.074292999998,11533.665300000002,2021-01-18 00:00:00,0
16924.074292999998,11444.568300000003,2021-01-19 00:00:00,0
16924.074292999998,11357.5576,2021-01-20 00:00:00,0
16924.074292999998,11259.7846,2021-01-21 00:00:00,0
16924.074292999998,11181.5595,2021-01-22 00:00:00,0
16924.074292999998,11139.764000000001,2021-01-23 00:00:00,0
16924.074292999998,11115.194800000003,2021-01-24 00:00:00,0
16924.074292999998,11072.344600000002,2021-01-25 00:00:00,0
16924.074292999998,11013.608899999997,2021-01-26 00:00:00,0
16924.074292999998,10942.821599999997,2021-01-27 00:00:00,0
16924.074292999998,10863.533900000002,2021-01-28 00:00:00,0
16924.074292999998,10770.901799999998,2021-01-29 00:00:00,0
16924.074292999998,10690.596800000003,2021-01-30 00:00:00,0
16924.074292999998,10624.7827,2021-01-31 00:00:00,0
16924.074292999998,10539.037900000001,2021-02-01 00:00:00,0
16924.074292999998,10451.283599999999,2021-02-02 00:00:00,0
16924.074292999998,10388.0743,2021-02-03 00:00:00,0
16924.074292999998,10299.547100000002,2021-02-04 00:00:00,0
16924.074292999998,10241.624000000002,2021-02-05 00:00:00,0
16924.074292999998,10173.988400000002,2021-02-06 00:00:00,0
16924.074292999998,10113.2668,2021-02-07 00:00:00,0
16924.074292999998,10029.650599999999,2021-02-08 00:00:00,0
16924.074292999998,9995.169700000002,2021-02-09 00:00:00,0
16924.074292999998,9931.9206,2021-02-10 00:00:00,0
16924.074292999998,9863.207699999999,2021-02-11 00:00:00,0
16924.074292999998,9796.615300000001,2021-02-12 00:00:00,0
16924.074292999998,9734.660099999997,2021-02-13 00:00:00,0
16924.074292999998,9685.0783,2021-02-14 00:00:00,0
16924.074292999998,9631.228099999998,2021-02-15 00:00:00,0
16924.074292999998,9550.632,2021-02-16 00:00:00,0
16924.074292999998,9461.9973,2021-02-17 00:00:00,0
16924.074292999998,9386.2314,2021-02-18 00:00:00,0
